,product_name,product_price,product_ratings,product_ratings_num,product_link
20,"Samsung 1.5 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-Bacteria, 2023 Model AR18CYNZABE White)","42,599",4.0 out of 5 stars,"1,493",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQ1NzUwNjU0MjUzOTQ5OjE2ODI1MTM2NDM6c3BfYnRmOjIwMTE2NTIyNjI3OTk4OjowOjo&url=%2FSamsung-Inverter-Convertible-Anti-Bacteria-AR18CYNZABE%2Fdp%2FB0BRQD9Y92%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513643%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
21,"Samsung 2 Ton 3 Star Wi-fi Enabled Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023 Model AR24CYLZABE White)","52,490",3.3 out of 5 stars,15,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQ1NzUwNjU0MjUzOTQ5OjE2ODI1MTM2NDM6c3BfYnRmOjIwMTE2NTIyNjI4MDk4OjowOjo&url=%2FSamsung-Inverter-Convertible-Anti-bacterial-AR24CYLZABE%2Fdp%2FB0BRQD4L93%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513643%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
22,"LG 1.5 Ton 4 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2023 Model, RS-Q19ENYE1, White)","42,490",4.0 out of 5 stars,329,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTExODEwNzM1MDc1NTczOjE2ODI1MTM3NDA6c3BfYXRmX25leHQ6MjAxMTAzODA2MjkwOTg6OjA6Og&url=%2FLG-Convertible-Anti-Virus-Protection-RS-Q19ENYE1%2Fdp%2FB0BQM6SPBH%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513740%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
23,"Panasonic 1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, PM 0.1 Air Purification Filter, CS/CU-NU18YKY4W,2023 Model, White)","39,980",3.9 out of 5 stars,37,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTExODEwNzM1MDc1NTczOjE2ODI1MTM3NDA6c3BfYXRmX25leHQ6MjAxNDYyOTQ4MjIwOTg6OjA6Og&url=%2FPanasonic-Convertible-additional-Purification-CU-NU18YKY4W%2Fdp%2FB0BRHZVBN1%2Fref%3Dsr_1_18_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513740%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
24,"Carrier 1 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 Filter, Auto Cleanser, 2023 Model,ESTER Exi - CAI12ER3R33F0,White)","30,990",4.0 out of 5 stars,779,https://www.amazon.in/Carrier-Flexicool-Inverter-Convertible-Filtration/dp/B0BR58HRD2/ref=sr_1_19?keywords=Air+Conditioners&qid=1682513740&sr=8-19
25,"Blue Star 1.2 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Smart Ready, Auto Defrost, Multi Sensors, Stabalizer Free Operations, Dust Filters, Blue Fins, 2023Model, IA315YNU,White)","33,990",4.1 out of 5 stars,"2,804",https://www.amazon.in/Blue-Star-Convertible-Stabalizer-IA315YNU/dp/B0BN6WFT1K/ref=sr_1_20?keywords=Air+Conditioners&qid=1682513740&sr=8-20
26,"Daikin 1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKL35UV16, White)","32,990",4.1 out of 5 stars,625,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKL35UV16/dp/B0BK28T4BZ/ref=sr_1_21?keywords=Air+Conditioners&qid=1682513740&sr=8-21
27,"Godrej 1 Ton 5 Star, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 1T EI 12TINV5R32-GWA Split / AC 1T EI 12TINV5R32-RWB Split, White)","32,990",3.6 out of 5 stars,379,https://www.amazon.in/Godrej-Convertible-Split-12TINV5R32-GWA-12TINV5R32-RWB/dp/B0BN4695FS/ref=sr_1_22?keywords=Air+Conditioners&qid=1682513740&sr=8-22
28,"LG 1 Ton 5 Star Ai Dual Inverter Split Ac (Copper, Super Convertible 6-In-1 Cooling, Hd Filter With Anti-Virus Protection, 2023 Model, Rs-Q14Ynze, White)","39,990",4.2 out of 5 stars,"1,215",https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-Rs-Q14Ynze/dp/B0BPYL1R9N/ref=sr_1_23?keywords=Air+Conditioners&qid=1682513740&sr=8-23
29,"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Model AR18CYLZABE White)","34,999",3.7 out of 5 stars,361,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR18CYLZABE/dp/B0BRQCYQHK/ref=sr_1_24?keywords=Air+Conditioners&qid=1682513740&sr=8-24
